Name,ID,"Public ID",Status,Power,"Last Heard",Location,Notes
Watauga,F1,F16E2E6890C70355391D3DB710E547CEA8B72A0DDB42024872307FE5F4C5D740,Active,,"Mar 2, 13:23:00","32.8862, -97.2509",
KI5EBH_RPT,3F,3F3CBB3D6501BD582D12A09148C235CE6C2CD1D8744C8563A9E9AF20C465F8C4,Active,,"Mar 2, 13:17:43","32.9363, -97.2762",
"FeHorse-820 ABQ",EE,EE3610ECE2357427F1B7A5A4B0069AEB8A3B982BFD337F4291886042FFEB1A01,Active,,"Mar 2, 12:51:46","32.8449, -97.2484",
"White Settlement Hillto",D5,D554F144BCBA1B46678C26ECB4F44F7EA1E0DD94D4A8FA91E51C6ECAE3E4C7A6,Active,,"Mar 2, 11:57:30","32.785, -97.5305",
"LW Repeater 114",E2,E28B5770F39990FEA92A93624F225A4C87060BC548FEAFF5307B62FD7384157F,Active,,"Mar 2, 11:47:41","32.8232, -97.5243",
"KG5AHU Repeater",65,6512397316606E966BA200405BBB713B8E17341E6B4C7FB917832B7B5922706B,Active,,"Mar 2, 11:43:20","32.6017, -97.1007",
"Chill Brah (Celina)",10,10F8060E24BA421870558AF23C42FB675D493B3697D510CA97336BBAF16FEF57,Active,,"Mar 2, 11:40:50","33.333, -96.7609",
"Noah Roof",02,02447E78A31208AD4B390FD04FE18F4875EC97E1E463B8955E8C8301718C4211,Active,,"Mar 2, 10:59:30","32.8716, -97.2693",
N.FW_Room&amp;Observer,3C,3C0C8E34449404DB7A0EB2E9C3A90B95622C224781B51DF6F7C953AEC2263BE8,Active,,"Mar 2, 10:01:48","32.8742, -97.2689",
Battlewagon,58,584AE550E50D7B8353F0BE00E6DCDBA3B9215711EA4DBEBA75A6D85FA8466041,Active,,"Mar 2, 09:21:19","0, 0",
"Basswood 377",40,404FA1ACC366C3667F7D126F3A53DC191B9CB922B2C73914DE446A395B45020D,Active,,"Mar 2, 06:56:47","32.8742, -97.2624",
"Test Repeater",B2,B2DC1540FA427E9D6033A8EE8B9CB01BE4B70E589944F180CA5B475F6BB49A1C,Active,,"Feb 27, 23:07:46","0, 0",
"East of Ellum",AA,AA61915DDFCDAA184B7FD95B93F8BA340250330F3DADA4C12B945EB357E3FCF2,Active,,"Feb 25, 16:29:50","32.784, -96.7737",
"R_SenseCap_Solar Repeat",1C,1C0869A0C5BDFAF1B18D65582B0ACD739D3159B6B92E14105FB2CBAC2533791B,Active,,"Feb 25, 12:22:41","32.9274, -97.2009",
FOC,FC,FC2C29F0C915AAE07B7EA58D2F8680F39A4CC4A3B7AD9246EEC3F3D2163F0D60,Active,,"Feb 24, 20:01:13","32.7639, -96.8512",
NeuralMeshTX_Repeater,A6,A6BF3695EB48A4DD7B4F50C9246FD75937E69E3B72EF11735CD9E6B3477BE47D,Active,,"Feb 24, 11:32:19","32.8937, -97.0858",
"Casafuerte Repeater",D7,D7AD832F66EAD0963DC82C5FBA0B830A2C2BB61F018BDCDB9953B0167575B64B,Active,,"Feb 23, 13:36:59","32.8151, -97.4023",
"LW Repeater 3",D2,D253DCAD21C60995C26BFCD780E65AC7F16C734DC3C4AD8989A31626602192BB,Active,,"Feb 23, 12:18:03","32.8236, -97.4955",
"Sachse Repeater 01",BD,BDF5DBF3AC419C2D422609A0759CBC21B5F639D2F3582F5B7B0BA07385B03A05,Active,,"Feb 23, 08:44:58","32.9788, -96.5856",
"Umbra Repeater",19,199D83C44C832ED16C1CC32F3D95A4BCD8683D5952CC73F3174D63D0CB45A5DB,Active,,"Feb 22, 11:58:02","33.1965, -96.6288",
"Lachryma Repeater",72,72D770C356C67F0DE28862ACD0EE370B0E3662C237083A9BF53EE92A155FC5E5,Active,,"Feb 22, 11:56:46","33.2035, -96.631",
"Codestoat Repeater",37,3709011207E52031E4EC84AD59855A7ED065616A23FEE6E795D52A46CC6376F0,Active,,"Feb 22, 11:55:47","33.1442, -96.6422",
Chupacabra,77,778DFE071525377562BBC64883EFE4288CA14C9A4E7255A07C3F372097298CFF,Active,,"Feb 22, 11:54:05","32.9632, -96.5962",
"Cityline Richardson Rep",52,5290D947F77ECE10DA55862D78D2F677DFD32F3284FC095B179F040204D2006B,Active,,"Feb 22, 11:53:16","32.9959, -96.696",
"NodeRunner Solar 📡",8B,8BB19420286C8DD72EF3DB557A3F75F96E852238BE317FD92EA1C6A3FE4987D4,Active,,"Feb 22, 11:47:56","32.8993, -97.1003",
"Frisco Trails Repeater",F7,F7F7F7C190B60B00F6958EFC70E8B7E4FBB15B37A50905620C7CF5BDDC0BEF88,Active,,"Feb 20, 09:40:55","33.1738, -96.8759",
MarineCreekLakeRptr,89,8947C79BB402C606FEF4554FF4A67A8140CB561851CE9B82B274FB70BFCDCC89,Active,,"Feb 19, 10:07:01","32.8351, -97.4131",
"Lake Vista Repeater",5D,5DF9EA95A7116DB6C218D57166B78D2A870432A8C829D9E294D86325CD66896A,Active,,"Feb 19, 10:02:19","32.8702, -97.4175",
