Name,ID,"Public ID",Status,Power,"Last Heard",Location,Notes
"CavCom Repeater #1",4E,4EF427496653761AADCDA4DC0C76BBB55229206363B8DE45ED53ABAF779C23BA,Active,,"Feb 24, 16:00:48","32.8891, -97.2406",
KI5EBH_RPT,3F,3F3CBB3D6501BD582D12A09148C235CE6C2CD1D8744C8563A9E9AF20C465F8C4,Active,,"Feb 24, 15:17:35","32.9363, -97.2762",
Watauga,F1,F16E2E6890C70355391D3DB710E547CEA8B72A0DDB42024872307FE5F4C5D740,Active,,"Feb 24, 13:23:10","32.8862, -97.2509",
NeuralMeshTX_Repeater,A6,A6BF3695EB48A4DD7B4F50C9246FD75937E69E3B72EF11735CD9E6B3477BE47D,Active,,"Feb 24, 11:32:19","32.8937, -97.0858",
"Noah Roof",02,02447E78A31208AD4B390FD04FE18F4875EC97E1E463B8955E8C8301718C4211,Active,,"Feb 24, 09:02:52","32.872, -97.2694",
Battlewagon,58,584AE550E50D7B8353F0BE00E6DCDBA3B9215711EA4DBEBA75A6D85FA8466041,Active,,"Feb 24, 03:21:18","0, 0",
"Casafuerte Repeater",D7,D7AD832F66EAD0963DC82C5FBA0B830A2C2BB61F018BDCDB9953B0167575B64B,Active,,"Feb 23, 13:36:59","32.8151, -97.4023",
"LW Repeater 3",D2,D253DCAD21C60995C26BFCD780E65AC7F16C734DC3C4AD8989A31626602192BB,Active,,"Feb 23, 12:18:03","32.8236, -97.4955",
"Basswood 377",40,404FA1ACC366C3667F7D126F3A53DC191B9CB922B2C73914DE446A395B45020D,Active,,"Feb 23, 11:04:13","32.8742, -97.2624",
"Sachse Repeater 01",BD,BDF5DBF3AC419C2D422609A0759CBC21B5F639D2F3582F5B7B0BA07385B03A05,Active,,"Feb 23, 08:44:58","32.9788, -96.5856",
"ABQ V4 Repeater",EE,EE3610ECE2357427F1B7A5A4B0069AEB8A3B982BFD337F4291886042FFEB1A01,Active,,"Feb 22, 12:51:42","32.8449, -97.2484",
"Umbra Repeater",19,199D83C44C832ED16C1CC32F3D95A4BCD8683D5952CC73F3174D63D0CB45A5DB,Active,,"Feb 22, 11:58:02","33.1965, -96.6288",
"Lachryma Repeater",72,72D770C356C67F0DE28862ACD0EE370B0E3662C237083A9BF53EE92A155FC5E5,Active,,"Feb 22, 11:56:46","33.2035, -96.631",
"Codestoat Repeater",37,3709011207E52031E4EC84AD59855A7ED065616A23FEE6E795D52A46CC6376F0,Active,,"Feb 22, 11:55:47","33.1442, -96.6422",
Chupacabra,77,778DFE071525377562BBC64883EFE4288CA14C9A4E7255A07C3F372097298CFF,Active,,"Feb 22, 11:54:05","32.9632, -96.5962",
"Cityline Richardson Rep",52,5290D947F77ECE10DA55862D78D2F677DFD32F3284FC095B179F040204D2006B,Active,,"Feb 22, 11:53:16","32.9959, -96.696",
"NodeRunner Solar 📡",8B,8BB19420286C8DD72EF3DB557A3F75F96E852238BE317FD92EA1C6A3FE4987D4,Active,,"Feb 22, 11:47:56","32.8993, -97.1003",
"Frisco Trails Repeater",F7,F7F7F7C190B60B00F6958EFC70E8B7E4FBB15B37A50905620C7CF5BDDC0BEF88,Active,,"Feb 20, 09:40:55","33.1738, -96.8759",
MarineCreekLakeRptr,89,8947C79BB402C606FEF4554FF4A67A8140CB561851CE9B82B274FB70BFCDCC89,Active,,"Feb 19, 10:07:01","32.8351, -97.4131",
"Lake Vista Repeater",5D,5DF9EA95A7116DB6C218D57166B78D2A870432A8C829D9E294D86325CD66896A,Active,,"Feb 19, 10:02:19","32.8702, -97.4175",
